hsChr Start Stop
hs18 28142509 28294302
hs18 37455958 37620554
hs18 51861143 52033640
hs19 8714332 8864039
hs19 49726612 49900195
hs20 2217497 2333353
hs20 16723471 16896316
hs20 26072000 26181848
hs20 50717369 50828741
hs21 20982374 21153529
hs21 22059729 22195086
hs22 22800717 22995240
hs22 30127009 30295118
hs22 34601446 34671039
hs22 49453081 49549502
hsX 29091437 29143794
hsX 33118826 33252714
hsX 57113676 57194286
hsX 73120726 73208160
hsX 77195629 77339158
hsX 79352997 79447858
hsX 82690049 82777839
hsX 83053691 83227450
hsX 92132695 92310416
hsX 104761703 104814887
hsX 106053097 106162561
hsX 121879514 122043277
hsX 125410171 125560547
hsX 133963352 134030552
hsX 140808345 140932841
hs1 12826893 13583803
hs1 25510392 25559491
hs1 105861577 106036917
hs1 140903396 141765769
hs1 143597265 143807163
hs1 159789853 159821663
hs1 238429482 238461503
hs1 246711567 246857031
hs2 51367429 51698368
hs2 82191241 82901637
hs2 87540032 87656698
hs2 88934404 91228704
hs2 111710028 111964879
hs2 129213308 130808719
hs2 156005053 156175483
hs2 211237163 211367226
hs3 116448039 116489842
hs4 4287 54931
hs4 22036172 22475046
hs4 34485505 34770739
hs4 94658659 95335613
hs4 104354288 104465616
hs4 167057083 167482075
hs5 762632 860238
hs5 2372402 2465379
hs5 13570805 13593437
hs5 21330410 21391298
hs5 68604421 70408241
hs6 127761 356478
hs6 19091937 19126876
hs6 35712406 35910572
hs6 58175273 58786187
hs6 62143728 62415692
hs6 63569838 63946210
hs6 79058923 79152006
hs6 120676709 120872662
hs7 13405467 14521413
hs7 143340036 143354343
hs8 2027315 2208228
hs8 3611005 4928252
hs8 6871616 8212038
hs8 12056801 12549243
hs8 90268651 90314197
hs8 100216817 100439005
hs8 119151243 119381364
hs9 42671740 43945910
hs9 66317199 66318669
hs9 82557453 84097474
hs9 103758379 103759879
hs10 46397301 47102746
hs11 54910506 55573404
hs11 96765260 96946383
hs12 16449421 16465824
hs12 61080571 61294231
hs13 64056794 65087468
hs13 84446447 84867020
hs13 88510050 88578302
hs13 99240885 99282297
hs14 19267456 19468888
hs14 105329646 106093098
hs15 18526971 20225830
hs15 28189706 28658691
hs15 29868048 30180651
hs15 30257325 30589635
hs15 32481879 32652370
hs16 22533886 22670853
hs16 32082890 33533065
hs16 47619254 47687206
hs17 33425841 33658843
hs17 41515374 42125543
hs17 42971395 42992601
hs19 24271666 24280183
hs21 21064510 21497774
hs22 14491957 14623461
hs7 38292638 38308037
hs14 21581346 22040241
hs22 21133087 21518308
hs12 30178581 30341441
hs22 24056060 24286409
hs8 137749458 137931561
hs8 7731402 7791647
hs17 31536374 31568886
hs19 10105022 10166811
hs14 105595002 105796539
hs12 10474474 10479859
hs1 110031964 110037890
hsX 153217480 153228808
hsX 153266423 153277757
hs4 3792970 4312969
hs4 8758576 9461815
hs8 6913382 8103381
hs8 11908066 12332070
hs7 71956869 72382389
hs7 73780448 74995982
hs15 20459937 21183722
hs15 25950605 27687533
hs8 7295548 7305838
hs22 38685214 38694314
hs15 72151162 72176162
hs16 68623391 68626543
hs16 15006975 15010118
hs3 3134219 3326584
hs6 71121392 71183718
hs13 108167625 109357572
hsX 6957709 7633830
hsX 62281936 62462786
hs6 32090635 32121883
hs1 102405098 102562910
hs17 40930361 41030361
hs17 41830361 41930361
hs16 28256775 28390714
hs16 28562004 28695952
hs10 135091683 135374737
hs6 162636454 162809596
hs5 180044370 180113617
hs2 88981161 89411551
hs6 213636 346084
hs7 61606122 61993849
hs14 19273689 19767232
hs14 105912194 106066065
hs1 2446450 2478865
hs1 13082358 13084889
hs1 16760883 16764275
hs1 25445605 25544725
hs1 34862127 34887178
hs1 72507579 72595782
hs1 107175823 107206654
hs1 110025520 110054404
hs1 112491625 112512823
hs1 143586336 143624905
hs1 144036453 144068323
hs1 144061077 144091155
hs1 146476038 146477425
hs1 148088263 148119731
hs1 150449799 150453775
hs1 150816580 150875096
hs1 151013059 151040222
hs1 153502429 153508303
hs1 153511518 153514946
hs1 196739236 196754612
hs1 205763497 205805949
hs1 216247751 216282164
hs10 6433069 6462822
hs10 25766227 25772423
hs10 46477759 46483278
hs10 70946349 70962911
hs10 89160463 89177356
hs10 124325281 124336870
hs10 124347949 124377296
hs10 130150405 130155431
hs11 1005059 1015203
hs11 1057274 1084617
hs11 1855962 1897796
hs11 1886737 1939055
hs11 1915678 1918633
hs11 4915812 4941949
hs11 5738669 5768809
hs11 18903769 18911757
hs11 18916368 18929772
hs11 47609019 47623008
hs11 49698283 49740901
hs11 55115601 55226935
hs11 60726490 60730664
hs11 62936696 62949999
hs11 101065750 101113874
hs11 106724834 106756990
hs12 2229492 2241937
hs12 8448532 8483138
hs12 13429399 13466004
hs12 17801435 17883572
hs12 39175711 39182456
hs12 53995934 54011707
hs12 56754551 56760334
hs12 57006943 57032578
hs12 78679070 78684395
hs12 82140026 82156872
hs12 116289059 116306539
hs12 126195299 126208891
hs14 23475038 23545053
hs14 23539508 23574552
hs14 34052865 34089598
hs14 34093941 34123234
hs14 69072118 69100168
hs14 105301889 105469293
hs15 18835203 18867788
hs15 18870124 20077222
hs15 18885558 20061341
hs15 27636922 27652292
hs15 28289062 28290120
hs15 28291928 28294309
hs15 28296937 28299029
hs15 28306501 28307890
hs15 28311629 28312757
hs15 28335392 28336861
hs15 28373452 28374377
hs15 28381408 28384132
hs15 28389476 28390598
hs15 32472522 32628056
hs15 52995999 53034494
hs15 64178145 64183508
hs15 73332126 73349115
hs15 74667683 74701343
hs15 82690614 82745765
hs15 90423352 90426194
hs15 90445911 90449733
hs15 90452957 90456908
hs15 90526337 90527576
hs15 90531694 90532600
hs15 90540757 90545134
hs15 90545761 90549975
hs15 90565670 90568645
hs15 90570601 90576001
hs15 90579704 90582644
hs15 90585507 90587123
hs15 90589232 90592546
hs15 90603911 90607766
hs15 90612102 90614314
hs15 100112732 100117754
hs16 5312714 5329006
hs16 14898879 14973293
hs16 14901376 15010521
hs16 14903995 15001948
hs16 16835304 16853911
hs16 21485316 22595351
hs16 21500521 22586272
hs16 32202996 32209339
hs16 34236453 34590205
hs16 34248297 34573297
hs16 34280595 34333152
hs16 54333781 54403464
hs16 54407676 54413103
hs16 73806806 73844683
hs16 76916517 76969258
hs16 83201418 83232168
hs16 83973688 84006192
hs17 9198372 9199615
hs17 11157980 11202026
hs17 16658684 18263022
hs17 18207841 18232090
hs17 21818891 21827577
hs17 21828960 21832872
hs17 36672430 36691010
hs17 40929636 40950911
hs17 40950280 40970427
hs17 41724262 41981453
hs17 68361430 68390648
hs17 77000543 77019553
hs17 78122582 78151657
hs18 42804836 42806019
hs19 8237615 8276742
hs19 8719093 8725990
hs19 8721564 8796961
hs19 39422156 39434971
hs19 40529245 40558675
hs19 41523559 41557255
hs19 43964751 44004122
hs19 45049019 45072938
hs19 45065417 45081095
hs19 53086420 53143430
hs19 53144775 53174275
hs19 56804935 56854345
hs19 59245803 59293019
hs19 59408310 59460933
hs2 3158354 3178867
hs2 19051097 19091018
hs2 36185253 36201933
hs2 41900320 41918270
hs2 88887206 88944313
hs2 88957223 89211296
hs2 91110437 91156349
hs2 95461914 95715690
hs2 106217623 106264339
hs2 126156134 126178227
hs2 146577320 146602272
hs2 152165343 152188842
hs2 169429569 169447611
hs2 184279543 184312873
hs2 242597164 242610705
hs20 1499392 1547647
hs20 14700001 14897555
hs20 45889365 45905922
hs20 45949231 45973361
hs20 46564083 46569855
hs20 61777021 61798147
hs21 33766723 33782482
hs22 20160891 20180436
hs22 21065827 21085419
hs22 21196986 21209626
hs22 21481774 21581634
hs22 21576000 21600374
hs22 22595462 22666042
hs22 37680253 37726530
hs3 28158923 28173995
hs3 47792065 47820591
hs3 50870215 50901282
hs3 50906550 50940929
hs3 55855003 55870149
hs3 68816561 68840034
hs3 75543330 75551153
hs3 85028769 85037847
hs3 100685329 100690865
hs3 109180872 109206200
hs3 109209279 109254220
hs3 113356828 113368809
hs3 152863386 152888616
hs3 163991641 164115385
hs3 188056986 188080903
hs3 193414719 193431899
hs3 194349088 194374708
hs3 194606353 194645398
hs3 196918332 198862488
hs3 199311677 199325006
hs4 8267 39648
hs4 9807721 9847657
hs4 48959833 49005239
hs4 49205292 49266242
hs4 49207038 49208437
hs4 49208856 49211147
hs4 121349026 121362327
hs4 132873505 132909177
hs4 151379647 151409247
hs4 157086911 157110936
hs4 173654894 173675381
hs4 188112664 188143904
hs4 189660929 189675518
hs5 21522510 21523359
hs5 21527860 21529394
hs5 29101002 29113876
hs5 34217277 34218567
hs5 34226014 34226756
hs5 57356695 57375303
hs5 89472164 89487593
hs5 103880569 103907829
hs5 118479467 118502561
hs5 123020657 123044567
hs5 140527498 140534839
hs5 155393362 155433064
hs5 177942564 177952843
hs5 178962158 179011175
hs5 179011676 179041161
hs6 26816389 26911451
hs6 32033718 32104699
hs6 32085024 32131194
hs6 72854234 72873361
hs6 103818151 103874226
hs6 150023750 150043744
hs6 160931064 160956954
hs7 4584757 4607795
hs7 48880676 48941685
hs7 54247398 54324156
hs7 54293296 54359753
hs7 56405719 56406419
hs7 57462039 57487506
hs7 75980534 76020295
hs7 90855642 90883670
hs7 91033112 91073941
hs7 96289288 96332046
hs7 97223509 97261234
hs7 100410642 100425652
hs7 100430303 100448907
hs7 102019041 102123970
hs7 109214180 109249168
hs7 110365703 110366460
hs7 115705254 115740269
hs7 141694967 141750654
hs7 142142156 142195729
hs7 143001137 143237154
hs7 143060726 143173190
hs7 158386631 158414514
hs8 1327422 1358228
hs8 2270843 2278367
hs8 6802213 6847036
hs8 6828365 6840527
hs8 7662979 7680653
hs8 32780745 32824999
hs8 51190334 51207434
hs8 58281102 58283638
hs8 58285950 58287592
hs8 86744550 86746013
hs8 86749175 86752060
hs8 86860428 86892874
hs8 86867463 86871701
hs8 86871247 86932655
hs8 86882411 86894984
hs8 86884371 86889095
hs8 86896630 86899755
hs8 126662647 126708435
hs8 130824995 130854581
hs8 135141298 135188617
hs8 144354955 144383961
hs8 144763913 144788813
hs9 6641440 6662988
hs9 106670041 106687948
hs9 125752406 125783379
hs9 125789391 125822826
hs9 135171263 135186700
hs9 139330610 139348466
hsX 6460342 6475413
hsX 9333931 9335269
hsX 38464869 38496052
hsX 46673363 46696814
hsX 48864631 48903657
hsX 48904576 48947105
hsX 56809114 56826001
hsX 100751968 100781832
hsX 103115116 103162431
hsX 103135049 103222513
hsX 103149124 103215138
hsX 114897286 114898990
hsX 114914198 114914906
hsX 119892114 119921130
hsX 134678554 134733681
hsX 146152797 146174575
hsX 148540036 148605417
hsX 152103121 152170296
hsX 153214275 153242080
hsX 153258841 153282041
hs1 17845 167209
hs1 12066125 12263549
hs1 12959729 13300692
hs16 69622061 69781972
hs1 16795829 16882680
hs1 25415444 25562767
hs1 103979519 104094855
hs1 105789056 105959460
hs1 142206285 142356882
hs1 142690296 142785224
hs1 143673834 143791318
hs1 194936135 195082994
hs1 195063101 195221853
hs22 22839077 23052933
hs2 14909303 14973850
hs2 106562495 106714904
hs2 106964473 107128063
hs2 107283992 107457593
hs2 129438421 129603253
hs2 242566739 242720633
hs3 84963450 85120890
hs3 196902846 197038755
hs3 197178121 197209871
hs4 8935748 8988989
hs4 9010036 9203157
hs4 45521831 45730276
hs4 70151264 70310376
hs4 189625286 189762005
hs4 189868649 190029092
hs5 662948 864399
hs5 674881 857619
hs5 693561 873509
hs5 780114 879520
hs5 20499137 20677549
hs5 21274738 21441545
hs5 70180481 70346813
hs5 69802531 69966791
hs5 98625474 98814385
hs5 99457113 99629569
hs5 140516163 140568127
hs6 26751773 26923946
hs6 26949064 27107202
hs6 27001720 27146154
hs6 47414983 47569358
hs7 35508678 35693329
hs7 56749798 56932979
hs7 62051626 62261328
hs7 64617975 64708472
hs7 78386257 78555541
hs7 101941088 102097192
hs7 143069194 143286717
hs7 143536879 143690749
hs7 149199123 149375264
hs7 149299328 149440660
hs7 153111585 153264202
hs7 153229742 153389164
hs8 2105021 2279635
hs8 2215497 2435332
hs8 7156824 7328299
hs8 7238605 7341931
hs8 7295548 7305838
hs8 7318738 7396455
hs8 7735038 8024983
hs8 7873159 8024984
hs8 7917018 8067760
hs8 12242062 12399265
hs9 33607646 33750742
hs9 39419115 39538277
hs9 65762296 65931992
hs9 44921847 45099368
hs9 45127183 45596047
hs9 45338735 45433231
hs9 45407228 45571307
hs9 45945897 46106424
hs9 45988919 46095349
hs9 67709059 67862658
hs9 69849021 69908509
hs9 42122307 42273497
hs9 69828283 69908851
hs9 42054839 42222285
hs9 41993173 42078779
hs9 67627824 67803880
hs9 67686567 67745400
hs9 67682523 67862331
hs9 67730815 67832548
hs9 91349983 91528554
hs9 91604245 91754448
hs10 82383415 82539916
hs10 42172467 42326672
hs10 47014284 47166584
hs10 81422755 81589260
hs10 113970162 114120813
hs11 4143559 4293066
hs11 58537363 58594215
hs12 130310595 130478577
hs14 105294030 105477141
hs14 105358529 105538840
hs14 105512458 105672588
hs14 105679974 105831033
hs14 106099160 106230477
hs15 19203509 19367828
hs15 18748501 18853895
hs11 79241083 79426794
hs15 26599828 26763830
hs15 28279023 28402108
hs15 30001740 30191136
hs15 30179962 30339503
hs15 30213188 30412040
hs15 32397743 32458774
hs15 32518465 32669922
hs15 40121667 40290274
hs15 63970182 64109461
hs15 78610257 78790444
hs15 80499440 80610425
hs15 81214819 81351633
hs15 82693245 82863371
hs15 82753026 82861713
hs15 83521149 83613140
hs16 22387837 22593523
hs16 32456421 32617025
hs16 32541841 32746227
hs16 33390428 33557453
hs16 68662994 68814400
hs17 13415317 13594294
hs17 31830701 31881756
hs17 31830239 32004489
hs17 41435317 41596488
hs17 41572525 41734030
hs17 41941682 42110774
hs17 42866583 43053941
hs17 55328116 55513938
hs17 62820089 62981367
hs17 74989057 75256852
hs19 8681095 8714315
hs19 59909223 60083800
hs21 13677346 13829345
hs21 13831889 13995202
hs14 18654379 18833779
hs22 14759229 14899909
hs22 16938779 17076729
hs22 17108337 17249642
hs22 19763073 19946240
hs22 20020197 20226229
hs22 21394879 21570697
hs22 24183516 24348090
hsX 3688954 3863129
hsX 433105 614235
hsX 47720837 47917917
hsX 47778060 47958314
hsX 48948547 49063684
hsX 154703321 154862054
hsX 134745126 134805096
hsX 140473750 140642275
hsX 154535313 154695188
hsY 9927847 10120972
hsY 12828561 12995792
hsY 21816712 21990381
hsY 22057861 22199897
hsY 22770255 22929071
hsY 23670847 23835302
hs8 6822580 6863226
hs7 141695544 141715785
hs7 70058906 70076823
hs16 83746238 83747302
hs7 5807474 5999167
hs7 6717297 6956568
hs4 157524670 157526497
hs5 1680164 1681819
hs5 5731704 5733983
hs8 3773395 3777972
hs8 17624833 17626145
hs16 29039165 29041643
hs11 59984753 59985971
hs2 132896407 132897517
hs13 75506546 75510873
hs5 15772456 15773910
hs5 19411052 19412164
hs11 85981805 85984268
hs11 87111053 87112872
hs8 72377270 72380484
hs8 123127800 123130521
hs4 87195411 87198976
hs1 236817115 236819235
hs2 34680685 34683250
hs2 44320597 44322391
hs2 46547749 46551197
hs2 51780080 51781274
hs10 58879748 58881875
hs10 62097209 62098334
hs4 41100811 41102642
hs4 42400817 42404282
hs1 45257 76166
hs1 6717817 6720271
hs1 10292899 10301003
hs1 10297766 10301003
hs1 16887326 16890262
hs1 16891707 16908818
hs1 16908818 16923823
hs1 17097845 17126415
hs1 17126415 17137953
hs1 55496405 55497788
hs1 62211975 62215834
hs1 62214376 62215834
hs1 65946538 65951791
hs1 66030426 66041654
hs1 72540340 72550161
hs1 72540340 72561278
hs1 72542017 72549855
hs1 94910672 94915316
hs1 94923454 94925850
hs1 111180773 111182243
hs1 119924945 119929020
hs1 147390776 147392563
hs1 147507662 147509945
hs1 150835102 150847144
hs1 150824684 150828032
hs1 195004814 195025053
hs1 195882014 195968848
hs1 198365160 198371615
hs1 231303195 231308213
hs1 246851482 246860246
hs2 7148439 7149929
hs2 18039601 18050602
hs2 24455943 24459556
hs2 35437965 35450823
hs2 41095773 41096822
hs2 41095773 41099005
hs2 98238471 98252357
hs2 115108946 115118854
hs2 146581429 146590888
hs2 151578054 151581781
hs2 152030341 152044674
hs2 152868249 152872760
hs2 184836366 184842482
hs2 184960086 184970481
hs2 184960086 184970324
hs2 189277306 189287290
hs2 203010872 203017311
hs2 203004035 203017311
hs2 208061308 208066083
hs2 208943618 208947987
hs2 234608782 234620735
hs3 1008107 1011877
hs3 1733089 1743091
hs3 6200539 6205286
hs3 6196030 6211038
hs3 10213124 10215658
hs3 24757243 24759837
hs3 25811737 25818985
hs3 62643369 62669282
hs3 62688959 62690067
hs3 89756519 89758560
hs3 116146746 116150586
hs3 117585789 117591189
hs3 131275786 131288672
hs3 138512873 138514443
hs3 144093300 144094347
hs3 145768591 145770045
hs3 147111593 147138521
hs3 166758469 166772118
hs3 176564037 176566093
hs3 190846788 190848185
hs3 192550557 192552678
hs3 192858240 192862534
hs3 199329166 199330677
hs4 11984155 11993045
hs4 28554306 28557848
hs4 33055138 33057247
hs4 34456637 34503406
hs4 34464369 34477262
hs4 34480862 34503406
hs4 34480862 34486700
hs4 57231956 57237751
hs4 65193085 65196319
hs4 65501464 65523175
hs4 67387712 67391724
hs4 69110817 69142125
hs4 69110817 69173198
hs4 69130187 69165549
hs4 69130187 69142125
hs4 69155187 69165549
hs4 78003144 78006228
hs4 92152587 92153722
hs4 96958229 96963820
hs4 104423858 104432429
hs4 104423858 104434065
hs4 104431844 104450630
hs4 112203081 112204503
hs4 112516864 112526806
hs4 116387607 116391782
hs4 117134478 117139542
hs4 122505518 122509313
hs4 130726507 130737856
hs4 131385987 131394521
hs4 138312344 138316899
hs4 144014721 144015937
hs4 144934432 144954203
hs4 145126400 145133185
hs4 145143848 145149665
hs4 145156499 145158180
hs4 145178228 145182274
hs4 145199420 145204777
hs4 152100215 152101748
hs4 156816455 156817531
hs4 158772055 158811453
hs4 162100450 162104065
hs4 164174542 164177106
hs4 171506079 171508222
hs4 178831900 178838152
hs4 181373547 181379876
hs5 101207948 101220592
hs5 101200731 101220592
hs5 101200731 101207948
hs5 165771085 165772323
hs6 284878 305721
hs6 22099000 22103055
hs6 27783269 27784773
hs6 29989326 29995225
hs6 29991570 29995225
hs6 34046274 34050206
hs6 67827226 67828358
hs6 77076267 77078698
hs6 79039487 79043997
hs6 79078423 79083083
hs6 87466743 87469692
hs6 93632502 93635080
hs6 102041883 102044860
hs6 102044860 102058195
hs6 103854444 103865469
hs6 113263862 113267168
hs6 119293810 119298150
hs6 146263446 146270660
hs7 3359052 3407850
hs7 7317208 7321640
hs7 7833134 7835277
hs7 11269459 11280724
hs7 13071534 13078848
hs7 23107172 23110707
hs7 24268745 24278922
hs7 24268745 24277594
hs7 37039962 37074629
hs7 61416760 61438239
hs7 78641062 78687162
hs7 78647104 78665072
hs7 78641062 78662566
hs7 78652346 78687162
hs7 78666613 78687162
hs7 93165415 93168493
hs7 97200271 97205911
hs7 104253911 104259883
hs7 104420216 104428477
hs7 109230055 109238466
hs7 109229030 109238466
hs7 110835815 110867643
hs7 118942357 118948979
hs7 118942357 118943363
hs7 126564933 126567166
hs7 133436439 133443659
hs7 133443616 133446804
hs7 139844032 139847922
hs7 140731458 140736637
hs7 143315921 143319933
hs7 152786864 152801802
hs7 154593778 154596312
hs7 155389586 155394057
hs8 2242110 2244333
hs8 2247131 2250519
hs8 2242110 2250519
hs8 2244333 2249691
hs8 4605218 4691949
hs8 4708927 4717662
hs8 6052575 6056851
hs8 7203870 7206953
hs8 12042492 12046608
hs8 13671021 13690801
hs8 13671021 13684392
hs8 13665623 13690801
hs8 13665623 13684908
hs8 16309085 16318732
hs8 24556452 24565907
hs8 25030376 25045471
hs8 25032578 25045471
hs8 25035050 25045471
hs8 25467962 25470607
hs8 27460054 27461493
hs8 37158264 37164487
hs8 39370045 39506336
hs8 39373531 39492651
hs8 39403497 39423310
hs8 39428327 39492651
hs8 51194778 51196571
hs8 54116119 54141127
hs8 58526557 58527676
hs8 68711389 68713064
hs8 90400815 90406126
hs8 107929316 107931173
hs8 120091667 120094522
hs9 640373 646765
hs9 665600 673299
hs9 682085 685607
hs9 1500299 1502232
hs9 11903287 11927390
hs9 11942643 11978036
hs9 107028807 107032983
hs9 128010357 128012031
hs10 4428977 4439746
hs10 11144870 11148911
hs10 14628607 14632331
hs10 20892798 20895015
hs10 28607813 28609965
hs10 37857888 37858922
hs10 41685682 41706277
hs10 46412363 46414186
hs10 47103096 47106300
hs10 48914148 48932399
hs10 55104946 55107278
hs10 55113256 55116064
hs10 58188472 58195193
hs10 66106212 66107646
hs10 70288517 70290372
hs10 105208242 105212066
hs10 114904702 114928707
hs10 122385300 122392390
hs10 122767004 122775033
hs11 4678718 4685740
hs11 21164827 21169031
hs11 21151928 21169031
hs11 22397865 22401966
hs11 25096933 25248415
hs11 25578411 25580720
hs11 25663566 25668876
hs11 25663566 25676867
hs11 30129492 30133319
hs11 55231932 55320476
hs11 55467285 55544415
hs12 4263804 4266929
hs12 11402399 11407484
hs12 11400655 11434605
hs12 18278058 18284911
hs12 18456330 18458285
hs12 22139915 22142636
hs12 27539977 27542418
hs12 27533809 27545038
hs12 27540053 27545038
hs12 33193399 33197542
hs12 33616091 33626050
hs12 36347306 36378161
hs12 48744172 48746045
hs12 58222193 58225778
hs12 59041314 59043746
hs12 62688136 62690201
hs12 76424148 76426304
hs12 76589208 76591472
hs12 77237567 77240079
hs12 81764273 81766799
hs12 89758683 89762051
hs12 124772720 124773911
hs12 125391932 125395404
hs12 126159965 126165117
hs12 127363955 127372572
hs12 129713954 129716063
hs12 130466076 130512460
hs12 130696856 130700683
hs12 130931643 130943970
hs13 31431830 31433996
hs13 42116086 42117835
hs13 50219786 50225941
hs13 56680301 56683410
hs13 56683410 56806669
hs13 56777459 56784440
hs15 20484859 20567999
hs15 41676268 41726934
hs16 6721004 6722304
hs16 19856910 19862969
hs16 20421223 20437735
hs16 79536955 79540398
hs17 10970310 10973815
hs17 19458360 19469233
hs18 284495 288620
hs18 8768916 8774723
hs18 8768916 8774370
hs18 14929393 14936138
hs18 32509114 32510666
hs18 56072413 56074460
hs18 61352438 61356682
hs18 64195345 64211988
hs18 64224850 64243196
hs18 65303941 65305389
hs19 46142449 46180624
hs19 48210451 48267714
hs19 48371891 48391257
hs19 60009268 60016447
hs20 22274531 22276058
hs21 9978594 10011786
hs21 9978594 9986010
hs21 20724046 20753953
hs21 20757822 20764126
hs21 23347097 23354462
hs21 27117916 27120255
hs22 19786518 19791274
hs22 22264238 22280646
hs22 24236860 24238441
hsX 33142295 33152617
hs1 10628678 10640184
hs1 34876909 34880863
hs1 46092101 46130597
hs1 86175057 86177084
hs1 87409982 87412646
hs1 101784062 101786303
hs1 111180501 111189735
hs1 111180501 111184586
hs1 112497782 112505805
hs1 113409780 113416967
hs1 113884455 113897620
hs1 114609082 114610154
hs1 145161546 145301974
hs1 147308446 147356586
hs1 147333923 147425688
hs1 147333923 147382788
hs1 147333923 147411558
hs1 147314918 147377167
hs1 147377167 147387670
hs1 147484617 147505129
hs1 147495710 147507662
hs1 148945534 148947612
hs1 149010116 149059240
hs1 151030779 151033105
hs1 158929056 158941968
hs1 159887552 159901749
hs1 162527361 162589049
hs1 164097752 164106356
hs1 167114988 167155209
hs1 173064490 173068262
hs1 187978794 188036884
hs1 195059832 195062807
hs1 241125523 241131051
hs1 241128682 241130779
hs2 17085138 17090990
hs2 46576723 46579714
hs2 51512306 51517808
hs2 87340502 87344242
hs2 87340502 87384774
hs2 89753412 89757456
hs2 89871895 89876594
hs2 89871830 89876594
hs2 160368242 160381772
hs2 161768063 161777480
hs2 161917231 161929171
hs2 164005167 164008273
hs2 180122960 180129913
hs3 4063576 4076356
hs3 6626929 6629288
hs3 11928640 11930892
hs3 16664175 16667546
hs3 37954562 37957761
hs3 53008836 53012735
hs3 60801472 60878151
hs3 65166887 65177377
hs3 65168286 65187636
hs3 65173579 65187319
hs3 65177377 65187319
